,,,,"//==================================
// Map MS100
//==================================",,,
string,MS100-gnd-0,,,コートパネル,Court Panel,,
,,,,"//==================================
// Map MS101
//==================================",,,
string,MS101-gnd-0,,,コートパネル,Court Panel,DUPE: F40,
,,,,"//==================================
// Map MS103
//==================================",,,
string,MS103-gnd-0,,,黒の石床,Black Stone Floor,,
string,MS103-gnd-1,,,赤じゅうたん,Red Carpet,,
,,,,"//==================================
// Map MS105
//==================================",,,
string,MS105-gnd-0,,,闇の亜空間,Dark Subspace,,
,,,,"//==================================
// Map MS107
//==================================",,,
string,MS107-gnd-0,,,水晶のパネル,Crystal Panel,,
,,,,"//==================================
// Map MS109
//==================================",,,
string,MS109-gnd-0,,,チタンの床,Titanium Floor,,
,,,,"//==================================
// Map MS11
//==================================",,,
string,MS11-gnd-0,,,ジメジメの床,Damp Floor,,
string,MS11-gnd-1,,,スイッチの床,Switch Floor,,
,,,,"//==================================
// Map MS110
//==================================",,,
string,MS110-gnd-0,,,コートパネル,Court Panel,DUPE: F40,
,,,,"//==================================
// Map MS112
//==================================",,,
string,MS112-gnd-0,,,コートパネル,Court Panel,DUPE: F40,
,,,,"//==================================
// Map MS113
//==================================",,,
string,MS113-gnd-0,,,クロスパネル,Cross Panel,,
,,,,"//==================================
// Map MS114
//==================================",,,
string,MS114-gnd-0,,,コートパネル,Court Panel,DUPE: F40,
,,,,"//==================================
// Map MS116
//==================================",,,
string,MS116-gnd-0,,,道路,Path,DUPE: F4,
,,,,"//==================================
// Map MS117
//==================================",,,
string,MS117-gnd-0,,,星の砂地,Sandy Soil,,
,,,,"//==================================
// Map MS118
//==================================",,,
string,MS118-gnd-0,,,石のパネル,Stone Panel,,
,,,,"//==================================
// Map MS12
//==================================",,,
string,MS12-gnd-0,,,岩盤,Rock Plate,,
string,MS12-gnd-1,,,湿った岩盤,Damp Rock Plate,,
,,,,"//==================================
// Map MS120
//==================================",,,
string,MS120-gnd-0,,,特殊合金の床,Special Alloy Floor,,
,,,,"//==================================
// Map MS122
//==================================",,,
string,MS122-gnd-0,,,赤じゅうたん,Red Carpet,DUPE: F45,
,,,,"//==================================
// Map MS13
//==================================",,,
string,MS13-gnd-0,,,宇宙空間,Outer Space,DUPE: F21,
,,,,"//==================================
// Map MS14
//==================================",,,
string,MS14-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
string,MS14-gnd-1,,,スイッチの床,Switch Floor,DUPE: F54,
,,,,"//==================================
// Map MS15
//==================================",,,
string,MS15-gnd-0,,,特殊合金の床,Special Alloy Floor,DUPE: F73,
string,MS15-gnd-1,,,金網,Wire Mesh,,
,,,,"//==================================
// Map MS18
//==================================",,,
string,MS18-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
,,,,"//==================================
// Map MS19
//==================================",,,
string,MS19-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
,,,,"//==================================
// Map MS20
//==================================",,,
string,MS20-gnd-0,,,異次元空間,Outside Dimension,Extradimensional Space,
string,MS20-gnd-1,,,異次元空間,Outside Dimension,DUPE: F89,
,,,,"//==================================
// Map MS200
//==================================",,,
string,MS200-gnd-0,,,木の橋,Wooden Bridge,,
string,MS200-gnd-1,,,砂地,Sandy Soil,,
string,MS200-gnd-2,,,荒れた砂地,Rough Sandy Soil,,
,,,,"//==================================
// Map MS201
//==================================",,,
string,MS201-gnd-0,,,魔石のパネル,Magic Stone Panel,,
,,,,"//==================================
// Map MS21
//==================================",,,
string,MS21-obj-0,,,岩,Rock,DUPE: F36,
string,MS21-gnd-1,,,星の砂地,Sandy Soil,DUPE: F66,
string,MS21-gnd-2,,,荒れた砂地,Rough Sandy Soil,DUPE: F94,
,,,,"//==================================
// Map MS22
//==================================",,,
string,MS22-gnd-0,,,硬質金属の床,Hard Metal Floor,,
,,,,"//==================================
// Map MS23
//==================================",,,
string,MS23-gnd-0,,,黒鉱石の地面,Black Ore Ground,,
string,MS23-gnd-1,,,転送スイッチ,Warp Switch,,
,,,,"//==================================
// Map MS24
//==================================",,,
string,MS24-gnd-0,,,黒鉱石の地面,Black Ore Ground,DUPE: F104,
string,MS24-gnd-1,,,転送スイッチ,Warp Switch,DUPE: F105,
,,,,"//==================================
// Map MS25
//==================================",,,
string,MS25-obj-0,,,岩,Rock,DUPE: F36,
string,MS25-obj-1,,,草,Plant,DUPE: F24,
string,MS25-gnd-2,,,星の砂地,Sandy Soil,DUPE: F66,
string,MS25-gnd-3,,,荒れた砂地,Rough Sandy Soil,DUPE: F94,
string,MS25-gnd-4,,,流砂,Quicksand,,
,,,,"//==================================
// Map MS26
//==================================",,,
string,MS26-gnd-0,,,赤鉱石の地面,Red Ore Ground,,
,,,,"//==================================
// Map MS27
//==================================",,,
string,MS27-gnd-0,,,セラミック道,Ceramic Path,,
string,MS27-gnd-1,,,排気口,Exhaust Port,,
,,,,"//==================================
// Map MS29
//==================================",,,
string,MS29-gnd-0,,,水晶のパネル,Crystal Panel,DUPE: F49,
,,,,"//==================================
// Map MS30
//==================================",,,
string,MS30-gnd-0,,,黒の石床,Black Stone Floor,DUPE: F44,
string,MS30-gnd-1,,,赤じゅうたん,Red Carpet,DUPE: F45,
,,,,"//==================================
// Map MS31
//==================================",,,
string,MS31-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
string,MS31-gnd-1,,,血塗られた床,Bloodstained Floor,,
,,,,"//==================================
// Map MS32
//==================================",,,
string,MS32-gnd-0,,,闇の亜空間,Dark Subspace,DUPE: F47,
,,,,"//==================================
// Map MS40
//==================================",,,
string,MS40-gnd-0,,,床,Floor,,
,,,,"//==================================
// Map MS41
//==================================",,,
string,MS41-gnd-0,,,床,Floor,DUPE: F131,
,,,,"//==================================
// Map MS50
//==================================",,,
string,MS50-obj-0,,,門,Gate,DUPE: F17,
string,MS50-gnd-1,,,道路,Road,"NOTE: originally dupe, see note on MS05-gnd-1",
string,MS50-gnd-2,,,砂利の道路,Road Rubble,DUPE: F19,
,,,,"//==================================
// Map MS51
//==================================",,,
string,MS51-obj-0,,,ガレキ,Rubble,DUPE: F14,
string,MS51-gnd-1,,,滑走路,Runway,DUPE: F15,
,,,,"//==================================
// Map MS53
//==================================",,,
string,MS53-gnd-0,,,床,Floor,DUPE: F131,
,,,,"//==================================
// Map MS54
//==================================",,,
string,MS54-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
,,,,"//==================================
// Map MS55
//==================================",,,
string,MS55-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
,,,,"//==================================
// Map MS56
//==================================",,,
string,MS56-gnd-0,,,赤じゅうたん,Red Carpet,DUPE: F45,
,,,,"//==================================
// Map MS57
//==================================",,,
string,MS57-gnd-0,,,赤じゅうたん,Red Carpet,DUPE: F45,
,,,,"//==================================
// Map MS58
//==================================",,,
string,MS58-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
,,,,"//==================================
// Map MS59
//==================================",,,
string,MS59-gnd-0,,,特殊合金の床,Special Alloy Floor,DUPE: F73,
,,,,"//==================================
// Map MS60
//==================================",,,
string,MS60-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
,,,,"//==================================
// Map MS61
//==================================",,,
string,MS61-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
,,,,"//==================================
// Map MS62
//==================================",,,
string,MS62-gnd-0,,,赤じゅうたん,Red Carpet,DUPE: F45,
,,,,"//==================================
// Map MS63
//==================================",,,
string,MS63-gnd-0,,,赤じゅうたん,Red Carpet,DUPE: F45,
,,,,"//==================================
// Map MS64
//==================================",,,
string,MS64-gnd-0,,,特殊合金の床,Special Alloy Floor,DUPE: F73,
string,MS64-gnd-1,,,転送スイッチ,Warp Switch,DUPE: F105,
,,,,"//==================================
// Map MS65
//==================================",,,
string,MS65-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
,,,,"//==================================
// Map MS66
//==================================",,,
string,MS66-gnd-0,,,特殊合金の床,Special Alloy Floor,DUPE: F73,
,,,,"//==================================
// Map MS67
//==================================",,,
string,MS67-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
string,MS67-gnd-1,,,スイッチの床,Switch Floor,DUPE: F54,
,,,,"//==================================
// Map MS68
//==================================",,,
string,MS68-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
string,MS68-gnd-1,,,転送スイッチ,Warp Switch,DUPE: F105,
,,,,"//==================================
// Map MS69
//==================================",,,
string,MS69-gnd-0,,,赤じゅうたん,Red Carpet,DUPE: F45,
,,,,"//==================================
// Map MS70
//==================================",,,
string,MS70-gnd-0,,,特殊合金の床,Special Alloy Floor,DUPE: F73,
string,MS70-gnd-1,,,アミの橋,Mesh Bridge,,
,,,,"//==================================
// Map MS71
//==================================",,,
string,MS71-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
string,MS71-gnd-1,,,転送スイッチ,Warp Switch,DUPE: F105,
,,,,"//==================================
// Map MS72
//==================================",,,
string,MS72-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
string,MS72-gnd-1,,,転送スイッチ,Warp Switch,DUPE: F105,
,,,,"//==================================
// Map MS73
//==================================",,,
string,MS73-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
string,MS73-gnd-1,,,転送スイッチ,Warp Switch,DUPE: F105,
,,,,"//==================================
// Map MS74
//==================================",,,
string,MS74-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
string,MS74-gnd-1,,,転送スイッチ,Warp Switch,DUPE: F105,
,,,,"//==================================
// Map MS75
//==================================",,,
string,MS75-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
string,MS75-gnd-1,,,転送スイッチ,Warp Switch,DUPE: F105,
,,,,"//==================================
// Map MS76
//==================================",,,
string,MS76-gnd-0,,,特殊合金の床,Special Alloy Floor,DUPE: F73,
string,MS76-gnd-1,,,転送スイッチ,Warp Switch,DUPE: F105,
,,,,"//==================================
// Map MS77
//==================================",,,
string,MS77-gnd-0,,,チタンの床,Titanium Floor,DUPE: F51,
,,,,"//==================================
// Map MS78
//==================================",,,
string,MS78-gnd-0,,,床,Floor,DUPE: F131,
,,,,"//==================================
// Map MS79
//==================================",,,
string,MS79-gnd-0,,,赤鉱石の地面,Red Ore Ground,DUPE: F116,
string,MS79-gnd-1,,,スイッチの床,Switch Floor,DUPE: F54,
,,,,"//==================================
// Map MS80
//==================================",,,
string,MS80-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
,,,,"//==================================
// Map MS81
//==================================",,,
string,MS81-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
,,,,"//==================================
// Map MS82
//==================================",,,
string,MS82-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
string,MS82-gnd-1,,,クロスパネル,Cross Panel,DUPE: F60,
,,,,"//==================================
// Map MS83
//==================================",,,
string,MS83-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
,,,,"//==================================
// Map MS84
//==================================",,,
string,MS84-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
,,,,"//==================================
// Map MS87
//==================================",,,
string,MS87-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
,,,,"//==================================
// Map MS88
//==================================",,,
string,MS88-gnd-0,,,鏡石のパネル,Mirror Stone Panel,"CHECK, 鏡石 doesn't seem to be a real word",
,,,,"//==================================
// Map MS89
//==================================",,,
string,MS89-gnd-0,,,赤じゅうたん,Red Carpet,DUPE: F45,
,,,,"//==================================
// Map MS90
//==================================",,,
string,MS90-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
,,,,"//==================================
// Map MS91
//==================================",,,
string,MS91-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
,,,,"//==================================
// Map MS93
//==================================",,,
string,MS93-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
,,,,"//==================================
// Map MS94
//==================================",,,
string,MS94-gnd-0,,,コートパネル,Court Panel,DUPE: F40,
,,,,"//==================================
// Map MS96
//==================================",,,
string,MS96-gnd-0,,,クロスパネル,Cross Panel,DUPE: F60,
string,MS96-gnd-1,,,スイッチの床,Switch Floor,DUPE: F54,
,,,,"//==================================
// Map MS98
//==================================",,,
string,MS98-gnd-0,,,コートパネル,Court Panel,DUPE: F40,
,,,,"//==================================
// Map MS99
//==================================",,,
string,MS99-gnd-0,,,コートパネル,Court Panel,DUPE: F40,
